implementation,mode,entries,runs,iterations,raw_total_us,median_total_us,median_us_per_iteration
baseline,insert,200000,5,5,"343380.000;294270.000;364220.000;299562.000;347994.000",343380.000,68676.000
baseline,find,200000,5,10,"584555.000;580566.000;524919.000;572055.000;585666.000",580566.000,58056.600
baseline,erase,200000,5,5,"332718.000;296683.000;327970.000;344567.000;327462.000",327970.000,65594.000
baseline,save,200000,5,10,"331874.000;348653.000;342164.000;311632.000;291716.000",331874.000,33187.400
baseline,load,200000,5,10,"505490.000;516986.000;503539.000;548093.000;524070.000",516986.000,51698.600
fixed,insert,200000,5,5,"309839.000;304395.000;271099.000;307277.000;627843.000",307277.000,61455.400
fixed,find,200000,5,10,"565759.000;511631.000;526154.000;521037.000;548701.000",526154.000,52615.400
fixed,erase,200000,5,5,"297840.000;278729.000;291587.000;301475.000;338081.000",297840.000,59568.000
fixed,save,200000,5,10,"167963.000;153201.000;197818.000;140131.000;142002.000",153201.000,15320.100
fixed,load,200000,5,10,"438810.000;425820.000;436348.000;426193.000;430932.000",430932.000,43093.200
